test_id,test_name,allwarehouse,avg_tpm,std_tpm,min_tpm,max_tpm,avg_nopm,std_nopm,min_nopm,max_nopm,runs
1,Small,False,103168.6,11692.3399839382,91181,120187,44345.6,4938.537415065315,39260,51525,5
1,Small,True,99166.8,5820.684083507709,89037,103089,42688.6,2524.2985758424056,38287,44320,5
2,Medium,False,94839.8,4996.440853247439,89365,101887,40787.8,2176.199829978856,38435,43851,5
2,Medium,True,100341.4,6638.772424176024,94660,109554,43116.8,2877.303981160141,40545,47108,5
3,Large,False,110600.4,9358.924446751347,99266,124666,47555.4,4001.2466557311855,42694,53554,5
3,Large,True,101104.8,6849.694022363336,90643,108927,43539.4,2961.477131432894,38959,46829,5
4,Max CPU,False,121708.2,3361.4809533894427,117845,125544,52446.6,1458.1468718891106,50713,54138,5
4,Max CPU,True,115993.6,5678.20942727547,106196,120932,49971.0,2428.002985994869,45737,51913,5
5,I/O Test,False,99867.8,9480.759473797443,89498,114030,43017.8,4139.339645402391,38482,49215,5
5,I/O Test,True,91206.2,7081.485098480404,83041,101281,39237.6,3090.0502099480523,35615,43516,5
6,Memory,False,112844.8,4288.98778268253,106163,118100,48646.0,1773.2674643155217,45863,50771,5
6,Memory,True,114346.8,5893.96171517936,107234,120905,49247.4,2486.1116829297916,46270,51993,5
7,Latency,False,95518.2,8315.515089277393,85688,103198,41075.2,3626.312410700435,36809,44456,5
7,Latency,True,95234.0,6012.032809291712,84731,99540,41048.8,2562.7010555271554,36567,42731,5
8,Stress,False,107304.0,1806.6825952557367,105169,109246,46191.2,742.139272643619,45246,46919,5
8,Stress,True,105031.8,2205.134168253715,101953,107792,45157.2,998.0734942878702,43672,46301,5
