test_id,test_name,allwarehouse,avg_tpm,std_tpm,min_tpm,max_tpm,avg_nopm,std_nopm,min_nopm,max_nopm,runs
1,Small,False,58013.2,7580.402937839122,51914,69836,25095.2,3419.996885963495,22236,30360,5
1,Small,True,27555.8,2133.060407020861,24461,30060,11829.8,917.3503692701061,10463,12877,5
2,Medium,False,79228.6,4335.110759830711,74761,84487,34444.6,1817.1537634443605,32522,36454,5
2,Medium,True,39932.6,6202.178270575589,30119,46587,17176.0,2673.9070664478973,12953,19995,5
3,Large,False,82459.6,8454.258855748387,70137,93228,36283.4,3761.7896405833226,30762,41057,5
3,Large,True,40709.6,2659.563178418591,37020,43553,17951.2,1177.8929068467983,16233,19142,5
4,Max CPU,False,78593.2,8877.437394879222,67801,90845,34567.2,3888.7617180794196,29831,39942,5
4,Max CPU,True,66297.6,3635.3954117812277,63683,72417,29312.0,1639.6595683250837,28103,32038,5
5,I/O Test,False,36007.4,5704.090751381855,30734,45481,16010.2,2568.4704981759087,13656,20295,5
5,I/O Test,True,26475.0,604.2350536008317,25840,27382,11632.0,278.34870217049695,11329,12054,5
6,Memory,False,86985.2,5917.192214217821,81056,95449,37960.6,2441.655032964321,35439,41396,5
6,Memory,True,82152.2,4600.800767257804,77555,87918,35351.0,1955.2535641189866,33417,37768,5
7,Latency,False,27940.6,1594.9129443326995,26284,30094,12101.4,674.5771267987078,11385,13040,5
7,Latency,True,19417.0,1612.3878255556258,17670,21729,8367.8,696.6359881602444,7601,9361,5
8,Stress,False,87341.6,3400.239594499189,81846,90306,38486.4,1458.1705318651868,36144,39807,5
8,Stress,True,84502.2,4040.62689443111,77740,88494,37189.2,1732.7021382799749,34315,38936,5
