timestep,tpm,final_tpm,final_nopm
1,0,107529,46360
2,70452,107529,46360
3,107334,107529,46360
4,111810,107529,46360
5,120390,107529,46360
6,119130,107529,46360
7,123420,107529,46360
8,116916,107529,46360
9,114930,107529,46360
10,122946,107529,46360
11,116052,107529,46360
12,104244,107529,46360
13,107148,107529,46360
14,109200,107529,46360
15,110094,107529,46360
16,99984,107529,46360
17,108984,107529,46360
18,107388,107529,46360
19,104880,107529,46360
20,108810,107529,46360
21,109152,107529,46360
22,103968,107529,46360
23,108444,107529,46360
24,109938,107529,46360
25,108432,107529,46360
26,111054,107529,46360
27,107094,107529,46360
28,106638,107529,46360
29,107262,107529,46360
30,109770,107529,46360
31,106014,107529,46360
32,112596,107529,46360
