timestep,tpm,final_tpm,final_nopm
1,0,120187,51525
2,108756,120187,51525
3,122424,120187,51525
4,121272,120187,51525
5,122142,120187,51525
6,123522,120187,51525
7,119754,120187,51525
8,116028,120187,51525
9,118308,120187,51525
10,117918,120187,51525
11,112866,120187,51525
12,120348,120187,51525
13,122472,120187,51525
14,124626,120187,51525
15,123930,120187,51525
16,119892,120187,51525
17,118530,120187,51525
18,120708,120187,51525
19,120156,120187,51525
20,117168,120187,51525
21,118362,120187,51525
22,120480,120187,51525
23,113166,120187,51525
24,120966,120187,51525
25,120072,120187,51525
26,124818,120187,51525
27,123366,120187,51525
28,121614,120187,51525
29,117948,120187,51525
30,118842,120187,51525
31,120816,120187,51525
