timestep,tpm,final_tpm,final_nopm
1,0,101041,43409
2,62280,101041,43409
3,97914,101041,43409
4,110832,101041,43409
5,105726,101041,43409
6,116484,101041,43409
7,118092,101041,43409
8,103056,101041,43409
9,93912,101041,43409
10,118356,101041,43409
11,119562,101041,43409
12,97890,101041,43409
13,108018,101041,43409
14,99324,101041,43409
15,99174,101041,43409
16,101016,101041,43409
17,106344,101041,43409
18,102984,101041,43409
19,95838,101041,43409
20,99546,101041,43409
21,109596,101041,43409
22,95682,101041,43409
23,108768,101041,43409
24,104760,101041,43409
25,101928,101041,43409
26,98538,101041,43409
27,99618,101041,43409
28,99816,101041,43409
29,107856,101041,43409
30,90498,101041,43409
31,98550,101041,43409
32,101106,101041,43409
