filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
tpcc_vu5_wh20_mc100_bp256M_lb8_run4.log,14,Small4 - Virtual Users vs Warehouses,102511,44180,31,"[0, 84432, 111390, 104598, 100278, 106116, 101520, 99492, 108102, 103830, 98682, 105138, 108606, 103158, 107028, 103854, 100272, 105852, 105654, 99546, 107052, 107004, 99942, 76926, 100932, 104208, 108648, 105714, 96996, 107682, 106758]"
tpcc_vu20_wh5_mc100_bp256M_lb8_run5.log,12,Small2 - Virtual Users vs Warehouses,131734,56541,31,"[0, 112026, 152376, 134448, 119766, 123444, 130254, 131418, 121206, 128400, 118812, 122940, 122316, 128490, 135402, 121800, 126594, 122442, 133146, 120912, 133686, 123390, 129144, 126564, 133236, 131148, 127950, 132390, 133194, 152424, 163536]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run1.log,1,Small,90076,38747,31,"[0, 88986, 95640, 98016, 98538, 89574, 98496, 91326, 81654, 94044, 89784, 90678, 87390, 92970, 83418, 91284, 90948, 86268, 81918, 93876, 92892, 97782, 92706, 87648, 89658, 95496, 90570, 91704, 86466, 82626, 95202]"
tpcc_vu20_wh5_mc100_bp256M_lb8_run4.log,12,Small2 - Virtual Users vs Warehouses,124836,53734,31,"[0, 97248, 161118, 138456, 120252, 130908, 115386, 109656, 124260, 125112, 124206, 125928, 132102, 111288, 128244, 132756, 119718, 128682, 124104, 118434, 121938, 133188, 111672, 121998, 124164, 121020, 121926, 130548, 136008, 144234, 120672]"
tpcc_vu5_wh20_mc100_bp256M_lb8_run5.log,14,Small4 - Virtual Users vs Warehouses,99026,42723,31,"[0, 90654, 84486, 105570, 95322, 102084, 97962, 95004, 103134, 105894, 99138, 103986, 100326, 95910, 101136, 100008, 93606, 103752, 100530, 97116, 102540, 100212, 92220, 101412, 102402, 100968, 100824, 99678, 91458, 100092, 99078]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run3.log,1,Small,97660,41838,31,"[0, 83772, 100014, 109284, 103782, 95190, 103548, 101376, 98946, 101886, 97194, 91980, 105006, 96216, 93564, 102216, 101454, 100974, 99078, 103860, 88428, 94314, 91170, 96090, 91740, 100410, 102882, 108594, 97770, 97008, 93894]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run2.log,1,Small,93399,40201,31,"[0, 78390, 95934, 93276, 91110, 90102, 102906, 97908, 94752, 96882, 98358, 92544, 97860, 92838, 95508, 100764, 93456, 96024, 96516, 95340, 95844, 98670, 98964, 90090, 89784, 93876, 78096, 97374, 97638, 81822, 91500]"
tpcc_vu5_wh20_mc100_bp256M_lb8_run2.log,14,Small4 - Virtual Users vs Warehouses,102273,44085,31,"[0, 94572, 111396, 98106, 112512, 108252, 102072, 105810, 102600, 102378, 102978, 103422, 96612, 104736, 103824, 101688, 102726, 99726, 100770, 106428, 104514, 84516, 108786, 104994, 100638, 109368, 104436, 92952, 107034, 106242, 101190]"
tpcc_vu20_wh5_mc100_bp256M_lb8_run3.log,12,Small2 - Virtual Users vs Warehouses,151808,65298,31,"[0, 119004, 175380, 149712, 137784, 154278, 148548, 143280, 155826, 154326, 153738, 158082, 179130, 160482, 164580, 158142, 144690, 157596, 154182, 143112, 152640, 158724, 152508, 158544, 144006, 148740, 144462, 148956, 150150, 143472, 147498]"
tpcc_vu20_wh5_mc100_bp256M_lb8_run2.log,12,Small2 - Virtual Users vs Warehouses,138070,59341,31,"[0, 112902, 163404, 132702, 124392, 131880, 139728, 129726, 142176, 133290, 131904, 143562, 128496, 124026, 136728, 138492, 124932, 131286, 149580, 167388, 148896, 137604, 129276, 133134, 135246, 138228, 136926, 139044, 139014, 126990, 153984]"
tpcc_vu5_wh20_mc100_bp256M_lb8_run3.log,14,Small4 - Virtual Users vs Warehouses,99151,42756,31,"[0, 90162, 110670, 98310, 97824, 103488, 94452, 105678, 100518, 99678, 111228, 105306, 94608, 101934, 99846, 95658, 98826, 100110, 102720, 89748, 104250, 101172, 91266, 100512, 102606, 98166, 103920, 98652, 92382, 103128, 102264]"
tpcc_vu5_wh20_mc100_bp256M_lb8_run1.log,14,Small4 - Virtual Users vs Warehouses,93270,40174,31,"[0, 48576, 100188, 96216, 92256, 82242, 83502, 98904, 86004, 93480, 93222, 87786, 94944, 95142, 94872, 93174, 102402, 99132, 93774, 92424, 91416, 94278, 93234, 92736, 79638, 92964, 96660, 95046, 90096, 91038, 92244]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run5.log,1,Small,100585,43318,31,"[0, 85386, 105372, 102582, 96876, 99204, 97572, 103062, 101688, 100596, 104892, 104748, 102024, 105366, 107172, 107334, 98292, 100242, 97632, 99804, 98526, 93924, 95652, 100530, 97536, 101814, 106698, 100050, 102516, 96732, 102552]"
tpcc_vu5_wh5_mc100_bp256M_lb8_run4.log,1,Small,105643,45402,31,"[0, 83796, 106128, 93822, 102420, 109002, 112860, 112338, 97896, 108048, 108546, 110172, 99852, 110574, 113052, 103776, 105288, 99696, 102618, 109722, 110808, 113538, 108618, 104466, 108240, 82788, 97722, 105012, 107154, 113286, 107604]"
tpcc_vu20_wh5_mc100_bp256M_lb8_run1.log,12,Small2 - Virtual Users vs Warehouses,129339,55878,31,"[0, 113880, 169542, 154578, 126876, 128886, 129690, 137418, 134208, 129954, 133698, 126498, 136548, 152658, 108108, 142872, 132246, 124056, 137724, 120726, 123288, 126606, 132948, 126618, 130098, 137760, 122256, 136044, 120516, 119814, 138132]"
tpcc_vu5_wh10_mc100_bp256M_lb8_run3.log,13,Small3 - Virtual Users vs Warehouses,101695,43784,31,"[0, 93324, 97734, 98868, 103320, 103110, 93000, 102240, 100194, 96504, 97296, 103452, 96870, 104118, 98724, 92598, 102762, 102528, 97560, 97914, 99300, 104172, 108420, 108528, 106884, 108324, 99732, 96972, 101556, 101532, 100692]"
tpcc_vu5_wh10_mc100_bp256M_lb8_run2.log,13,Small3 - Virtual Users vs Warehouses,103591,44589,31,"[0, 87378, 110406, 110478, 106056, 107970, 105552, 110676, 106416, 102720, 107262, 105768, 102864, 104664, 98274, 99258, 105330, 106506, 97128, 108144, 97020, 92562, 103590, 104268, 103998, 109284, 106332, 109560, 111666, 108852, 99360]"
tpcc_vu5_wh10_mc100_bp256M_lb8_run1.log,13,Small3 - Virtual Users vs Warehouses,102498,43989,31,"[0, 92988, 83964, 85440, 97932, 105666, 108924, 108738, 95598, 106194, 105834, 96276, 112356, 114066, 97878, 104358, 105768, 94692, 104052, 106614, 97620, 95952, 104700, 104838, 106596, 105624, 98310, 99858, 105738, 101760, 98124]"
tpcc_vu5_wh10_mc100_bp256M_lb8_run5.log,13,Small3 - Virtual Users vs Warehouses,100962,43257,31,"[0, 82764, 111192, 108990, 98070, 102642, 102006, 91878, 98790, 100044, 96990, 100968, 101874, 97728, 102030, 101934, 98988, 103170, 101388, 91248, 105702, 102768, 97152, 104124, 107466, 104328, 102552, 103200, 92670, 101754, 100992]"
tpcc_vu5_wh10_mc100_bp256M_lb8_run4.log,13,Small3 - Virtual Users vs Warehouses,86931,37404,31,"[0, 85080, 100710, 91116, 95316, 92406, 83820, 83064, 85470, 89934, 80628, 91644, 90030, 80184, 88500, 90780, 81600, 90192, 87420, 82602, 87966, 89136, 86772, 91680, 90888, 78600, 87888, 93888, 82872, 87288, 88878]"
