timestep,tpm,final_tpm,final_nopm
1,0,117406,50633
2,99306,117406,50633
3,105654,117406,50633
4,122670,117406,50633
5,120810,117406,50633
6,115332,117406,50633
7,117702,117406,50633
8,121878,117406,50633
9,118926,117406,50633
10,119868,117406,50633
11,122700,117406,50633
12,119172,117406,50633
13,116586,117406,50633
14,123420,117406,50633
15,113370,117406,50633
16,120552,117406,50633
17,121500,117406,50633
18,118320,117406,50633
19,116910,117406,50633
20,124014,117406,50633
21,113028,117406,50633
22,119034,117406,50633
23,114264,117406,50633
24,115602,117406,50633
25,115488,117406,50633
26,115674,117406,50633
27,116724,117406,50633
28,118092,117406,50633
29,119172,117406,50633
30,109464,117406,50633
31,122118,117406,50633
