timestep,tpm,final_tpm,final_nopm
1,0,182234,79055
2,139824,182234,79055
3,287568,182234,79055
4,230694,182234,79055
5,210318,182234,79055
6,130338,182234,79055
7,290298,182234,79055
8,286278,182234,79055
9,292344,182234,79055
10,221850,182234,79055
11,167598,182234,79055
12,211938,182234,79055
13,230118,182234,79055
14,252420,182234,79055
15,264504,182234,79055
16,225846,182234,79055
17,235830,182234,79055
18,190782,182234,79055
19,95142,182234,79055
20,89352,182234,79055
21,97110,182234,79055
22,82482,182234,79055
23,76206,182234,79055
24,238674,182234,79055
25,201534,182234,79055
26,239478,182234,79055
27,269106,182234,79055
28,204288,182234,79055
29,184908,182234,79055
30,165618,182234,79055
31,154434,182234,79055
