timestep,tpm,final_tpm,final_nopm
1,0,146016,63433
2,159630,146016,63433
3,184992,146016,63433
4,165528,146016,63433
5,165420,146016,63433
6,127656,146016,63433
7,83412,146016,63433
8,34848,146016,63433
9,102930,146016,63433
10,162942,146016,63433
11,165954,146016,63433
12,167370,146016,63433
13,151548,146016,63433
14,169188,146016,63433
15,183240,146016,63433
16,181302,146016,63433
17,176274,146016,63433
18,164928,146016,63433
19,177192,146016,63433
20,124398,146016,63433
21,136218,146016,63433
22,142416,146016,63433
23,113094,146016,63433
24,138984,146016,63433
25,136158,146016,63433
26,129396,146016,63433
27,135486,146016,63433
28,138528,146016,63433
29,135462,146016,63433
30,134286,146016,63433
31,113736,146016,63433
