timestep,tpm,final_tpm,final_nopm
1,0,268185,116616
2,133050,268185,116616
3,269088,268185,116616
4,245730,268185,116616
5,267900,268185,116616
6,280758,268185,116616
7,261606,268185,116616
8,280380,268185,116616
9,313968,268185,116616
10,269976,268185,116616
11,251604,268185,116616
12,248484,268185,116616
13,300720,268185,116616
14,299874,268185,116616
15,303756,268185,116616
16,220620,268185,116616
17,249558,268185,116616
18,274476,268185,116616
19,246324,268185,116616
20,261840,268185,116616
21,307800,268185,116616
22,231756,268185,116616
23,248592,268185,116616
24,248628,268185,116616
25,288924,268185,116616
26,301800,268185,116616
27,319290,268185,116616
28,282858,268185,116616
29,249606,268185,116616
30,255090,268185,116616
31,241374,268185,116616
32,275712,268185,116616
