filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
pg_vu100_wh100_mc1000_sb4GB_wb128_run1.log,81,Stress1 - Best PostgreSQL,239766,104242,32,"[0, 107172, 194190, 182670, 257526, 188238, 210810, 233118, 198072, 210888, 203106, 305082, 286620, 250458, 218838, 166944, 220440, 312804, 248562, 259254, 287034, 254118, 243234, 242070, 259494, 233964, 242370, 293532, 219306, 171648, 198846, 215334]"
pg_vu100_wh100_mc1000_sb4GB_wb128_run2.log,81,Stress1 - Best PostgreSQL,201376,87444,32,"[0, 98928, 224052, 186174, 209256, 145266, 149034, 199740, 246774, 232860, 240690, 200202, 252474, 190188, 184338, 247038, 223134, 223806, 215694, 230520, 175590, 137004, 192324, 171498, 194316, 208614, 225210, 190572, 236742, 233724, 147204, 216654]"
pg_vu100_wh100_mc1000_sb4GB_wb128_run3.log,81,Stress1 - Best PostgreSQL,205307,89216,32,"[0, 54708, 165492, 166686, 187830, 188502, 205926, 137148, 182646, 191244, 210270, 215988, 173454, 237732, 264534, 178704, 211530, 220746, 202392, 233436, 226722, 213552, 207108, 129156, 192090, 163404, 166230, 211176, 220812, 208128, 219480, 188532]"
pg_vu100_wh100_mc1000_sb4GB_wb128_run4.log,81,Stress1 - Best PostgreSQL,196583,85743,31,"[0, 82296, 175692, 159852, 164334, 236964, 255240, 170358, 131220, 151836, 181092, 162852, 146778, 174834, 261834, 250278, 161382, 132126, 174324, 178350, 215166, 174690, 227568, 228648, 242838, 193332, 134826, 218298, 177240, 210930, 185694]"
pg_vu100_wh100_mc1000_sb4GB_wb128_run5.log,81,Stress1 - Best PostgreSQL,197379,85785,32,"[0, 59178, 160848, 168636, 147132, 201876, 172302, 192270, 227652, 272652, 185658, 145446, 168288, 193380, 264984, 238536, 238128, 259758, 166386, 180738, 159834, 224562, 165024, 189714, 199182, 225618, 165906, 154734, 156618, 180984, 191478, 148518]"
pg_vu100_wh150_mc1000_sb4GB_wb128_run1.log,82,Stress2 - Best PostgreSQL,173223,75103,32,"[0, 93144, 193320, 187302, 172554, 165528, 173472, 182310, 176112, 163098, 99426, 166818, 176022, 192714, 177738, 186834, 219648, 200622, 135324, 127392, 165210, 188670, 215820, 140142, 194688, 202002, 167136, 163800, 128814, 157908, 157128, 154836]"
pg_vu100_wh150_mc1000_sb4GB_wb128_run2.log,82,Stress2 - Best PostgreSQL,195007,84731,32,"[0, 62604, 173406, 183570, 165498, 200292, 200274, 243006, 184998, 162606, 95904, 160728, 257658, 234822, 196578, 257208, 224430, 168822, 156930, 170382, 201546, 228936, 216438, 224730, 226344, 156006, 161166, 164052, 155436, 190524, 181866, 179178]"
pg_vu100_wh150_mc1000_sb4GB_wb128_run3.log,82,Stress2 - Best PostgreSQL,164720,71776,32,"[0, 61092, 184818, 153756, 145260, 139170, 117474, 95904, 158208, 170526, 154014, 172308, 163992, 151584, 152598, 150594, 150150, 135324, 142926, 161178, 206088, 183540, 181098, 193452, 205182, 216516, 129096, 140352, 124416, 163116, 188346, 178368]"
pg_vu100_wh150_mc1000_sb4GB_wb128_run4.log,82,Stress2 - Best PostgreSQL,160646,70096,32,"[0, 77100, 149136, 132600, 120234, 121380, 113304, 162942, 195030, 186726, 175458, 148110, 148350, 117912, 137262, 193044, 155424, 179040, 152112, 153708, 131460, 225996, 160824, 113658, 133578, 117150, 175710, 200298, 159816, 158790, 240510, 185262]"
pg_vu100_wh150_mc1000_sb4GB_wb128_run5.log,82,Stress2 - Best PostgreSQL,153611,67055,32,"[0, 67968, 122754, 129084, 161556, 152796, 157842, 96072, 102726, 128124, 146328, 122958, 177864, 146880, 180492, 204960, 164646, 122748, 129318, 118392, 137826, 141684, 204354, 187374, 196482, 147660, 162756, 187830, 104736, 90714, 141846, 172656]"
