filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
tpcc_vu100_wh50_mc1000_bp4G_lb128_run1.log,8,Stress,85987,37798,34,"[0, 107208, 115356, 92148, 86646, 81270, 82896, 88122, 74220, 86808, 80646, 89628, 88446, 82866, 91308, 76212, 83298, 85524, 88938, 82668, 83910, 74514, 90450, 89412, 91644, 78900, 88356, 85728, 83856, 90576, 92664, 83346, 37824, 0]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run2.log,8,Stress,88494,38936,34,"[0, 95106, 140238, 92394, 94824, 97476, 96186, 80724, 66060, 91116, 94470, 83892, 91218, 85722, 88518, 86160, 92352, 92400, 88092, 86040, 93372, 90612, 80898, 84624, 97908, 85356, 82764, 82164, 89568, 89106, 79872, 88968, 48552, 0]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run3.log,8,Stress,85699,37758,34,"[0, 89904, 140760, 94320, 90018, 85896, 93642, 85386, 93864, 86046, 84198, 91398, 88608, 82374, 92058, 90030, 89748, 82926, 90084, 89304, 87798, 91590, 84660, 85218, 86196, 77250, 71184, 80400, 87834, 87240, 78054, 79908, 13554, 0]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run4.log,8,Stress,84591,37139,34,"[0, 92328, 131832, 94458, 94236, 78870, 78990, 92064, 88986, 88092, 88116, 85470, 88824, 85152, 94524, 80196, 92814, 92304, 89400, 87186, 89340, 81306, 78066, 88044, 82074, 84000, 80160, 79074, 77058, 87750, 75438, 79908, 36120, 0]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run5.log,8,Stress,77740,34315,34,"[0, 89988, 134124, 98436, 88578, 85440, 78810, 96744, 84648, 85194, 79854, 80520, 77958, 82326, 86502, 71082, 87066, 71412, 82518, 75066, 80616, 78864, 66438, 75804, 67998, 78198, 80580, 80136, 67974, 75012, 72552, 79044, 50244, 0]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run1.log,6,Memory,87918,37768,31,"[0, 111894, 97764, 77034, 79758, 78126, 70620, 81252, 82722, 79590, 85386, 82500, 84744, 85740, 85848, 87000, 84648, 88626, 89454, 89910, 88380, 93258, 87810, 87666, 90936, 94692, 86832, 81648, 95514, 88668, 82122]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run2.log,6,Memory,85393,36755,31,"[0, 102564, 87474, 87312, 92142, 85284, 88602, 87528, 85530, 88788, 85062, 91422, 86718, 91866, 86184, 89538, 84054, 89994, 89802, 84390, 90276, 80616, 79506, 81048, 81972, 83136, 87438, 89796, 87456, 86658, 81372]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run3.log,6,Memory,82191,35397,31,"[0, 100674, 86484, 89496, 86442, 87996, 86454, 86580, 88614, 86970, 85800, 85068, 90420, 82806, 83484, 89004, 84618, 81366, 82860, 83244, 84120, 83694, 85422, 79398, 85044, 79500, 81522, 86748, 76314, 84534, 74952]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run4.log,6,Memory,77704,33418,31,"[0, 82266, 71232, 71754, 90750, 82578, 83088, 76866, 77142, 81792, 81816, 73146, 76674, 78672, 73134, 79734, 78840, 85266, 72570, 71964, 70416, 88014, 79296, 83334, 82968, 70494, 83334, 61878, 89016, 79218, 74442]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run5.log,6,Memory,77555,33417,31,"[0, 96588, 75540, 82470, 77376, 37344, 50568, 71730, 85092, 81306, 79062, 75180, 77016, 83316, 79548, 82368, 80376, 78540, 57570, 92706, 78060, 84576, 76920, 72942, 83664, 80406, 77046, 74430, 82038, 75396, 67734]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run1.log,2,Medium,46587,19995,61,"[0, 42456, 58044, 55926, 43992, 45996, 60528, 47190, 44196, 61098, 43878, 32304, 58002, 41304, 42996, 52392, 62562, 39576, 43428, 54738, 44142, 37434, 55758, 50808, 39228, 46626, 50052, 30834, 54036, 49332, 29250, 35982, 37836, 49212, 56034, 41292, 47640, 62760, 40284, 45348, 57420, 52668, 33000, 49836, 52734, 44814, 39780, 60690, 39336, 43470, 57876, 42300, 40434, 54186, 51336, 40992, 49908, 51786, 32328, 57306, 33618]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run2.log,2,Medium,43483,18788,62,"[0, 34278, 54300, 41598, 25164, 52578, 34338, 61248, 43050, 38844, 58518, 38952, 43596, 52590, 40914, 44040, 54678, 27588, 59946, 48288, 29592, 60474, 37764, 52698, 52686, 41814, 45474, 47580, 28404, 59244, 43758, 30504, 47700, 43146, 52008, 42630, 35082, 55698, 47340, 31866, 54834, 43914, 33126, 59880, 42894, 38310, 62658, 31062, 46644, 41598, 34146, 61176, 27828, 41664, 45636, 35946, 59826, 37992, 36006, 59658, 21534, 56172]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run3.log,2,Medium,39190,16757,62,"[0, 37866, 41772, 63888, 42060, 39672, 54960, 34986, 47106, 47298, 44760, 45024, 54828, 28656, 52896, 44736, 33426, 59046, 37944, 37230, 48792, 42042, 50694, 48918, 26166, 63216, 32064, 44550, 44778, 33882, 48474, 25422, 50880, 27540, 56454, 33786, 35688, 50928, 30396, 57354, 44100, 23106, 55590, 34380, 49794, 37440, 39444, 48858, 28026, 48072, 18156, 53160, 16878, 45132, 31902, 52752, 23124, 51204, 35568, 41898, 46566, 26850]"
