timestep,tpm,final_tpm,final_nopm
1,0,37020,16233
2,33882,37020,16233
3,30510,37020,16233
4,26004,37020,16233
5,45816,37020,16233
6,41454,37020,16233
7,49044,37020,16233
8,43512,37020,16233
9,39618,37020,16233
10,43632,37020,16233
11,42210,37020,16233
12,49056,37020,16233
13,41208,37020,16233
14,39486,37020,16233
15,41634,37020,16233
16,38886,37020,16233
17,47130,37020,16233
18,46716,37020,16233
19,39528,37020,16233
20,36432,37020,16233
21,40206,37020,16233
22,40236,37020,16233
23,43452,37020,16233
24,47316,37020,16233
25,40806,37020,16233
26,40086,37020,16233
27,49422,37020,16233
28,42294,37020,16233
29,42660,37020,16233
30,35754,37020,16233
31,32388,37020,16233
32,40338,37020,16233
33,14730,37020,16233
34,59748,37020,16233
35,43260,37020,16233
36,47526,37020,16233
37,46914,37020,16233
38,48276,37020,16233
39,46332,37020,16233
40,49386,37020,16233
41,45894,37020,16233
42,49656,37020,16233
43,41616,37020,16233
44,35136,37020,16233
45,42462,37020,16233
46,38082,37020,16233
47,44136,37020,16233
48,53196,37020,16233
49,43992,37020,16233
50,31920,37020,16233
51,48444,37020,16233
52,37368,37020,16233
53,30762,37020,16233
54,33300,37020,16233
55,37614,37020,16233
56,23244,37020,16233
57,32790,37020,16233
58,35616,37020,16233
59,48150,37020,16233
60,34212,37020,16233
61,35802,37020,16233
62,29778,37020,16233
63,25128,37020,16233
64,39222,37020,16233
65,48654,37020,16233
