timestep,tpm,final_tpm,final_nopm
1,0,28853,12387
2,25068,28853,12387
3,31704,28853,12387
4,30822,28853,12387
5,31182,28853,12387
6,32940,28853,12387
7,25902,28853,12387
8,32016,28853,12387
9,27366,28853,12387
10,25482,28853,12387
11,28722,28853,12387
12,28254,28853,12387
13,30102,28853,12387
14,26946,28853,12387
15,31098,28853,12387
16,25014,28853,12387
17,27498,28853,12387
18,28710,28853,12387
19,25422,28853,12387
20,29946,28853,12387
21,29418,28853,12387
22,28188,28853,12387
23,27228,28853,12387
24,26694,28853,12387
25,23556,28853,12387
26,31746,28853,12387
27,29574,28853,12387
28,32358,28853,12387
29,29748,28853,12387
30,29034,28853,12387
31,29424,28853,12387
32,14484,28853,12387
33,32310,28853,12387
34,25656,28853,12387
35,27684,28853,12387
36,23814,28853,12387
37,28656,28853,12387
38,31422,28853,12387
39,28680,28853,12387
40,28710,28853,12387
41,29478,28853,12387
42,23826,28853,12387
43,27498,28853,12387
44,29106,28853,12387
45,31092,28853,12387
46,28992,28853,12387
47,27420,28853,12387
48,29136,28853,12387
49,28440,28853,12387
50,31080,28853,12387
51,23310,28853,12387
52,31668,28853,12387
53,29604,28853,12387
54,29202,28853,12387
55,25026,28853,12387
56,30240,28853,12387
57,29556,28853,12387
58,30204,28853,12387
59,27120,28853,12387
60,31038,28853,12387
61,31542,28853,12387
