filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
tpcc_vu100_wh50_mc1000_bp4G_lb128_run1.log,8,Stress,89971,39570,34,"[0, 102162, 144132, 107370, 97884, 88950, 93330, 87978, 86772, 84858, 84864, 75852, 91272, 81870, 95208, 86328, 93924, 76950, 87132, 95478, 92736, 93996, 89028, 87456, 86328, 90006, 91968, 91770, 85500, 97716, 91128, 87168, 27546, 0]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run2.log,8,Stress,90306,39807,34,"[0, 88380, 151020, 103602, 102540, 99132, 91020, 97938, 93462, 93642, 91494, 86454, 92724, 99864, 93150, 96468, 90114, 84462, 88710, 87366, 86220, 96510, 85122, 93378, 91722, 84558, 96366, 93000, 80634, 90972, 89418, 87774, 4410, 0]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run3.log,8,Stress,87704,38677,34,"[0, 95016, 151458, 104916, 101268, 81270, 90150, 89718, 78144, 85326, 91974, 85752, 82224, 82212, 85044, 93468, 81612, 95064, 87510, 92052, 88722, 89202, 87960, 80052, 86148, 89604, 89340, 89268, 88644, 82038, 77724, 90600, 36294, 0]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run4.log,8,Stress,86881,38234,34,"[0, 83124, 148080, 102642, 97830, 91968, 85272, 91506, 95214, 91260, 92340, 89940, 93132, 89298, 86064, 77286, 92904, 91710, 88146, 91176, 86262, 94056, 80322, 88608, 84354, 91398, 89094, 89904, 82890, 76428, 83700, 93000, 18018, 0]"
tpcc_vu100_wh50_mc1000_bp4G_lb128_run5.log,8,Stress,81846,36144,34,"[0, 88830, 155220, 105102, 92322, 93090, 90564, 84930, 84954, 92814, 95148, 88344, 82440, 86946, 87456, 92772, 75648, 90636, 73668, 79404, 84846, 81324, 82176, 71784, 71298, 86280, 81726, 86544, 78486, 79308, 78546, 75120, 12054, 0]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run1.log,6,Memory,95449,41396,31,"[0, 125532, 108006, 98496, 106380, 101874, 88182, 94824, 97692, 93084, 98718, 97296, 97104, 99594, 91188, 98718, 95580, 99708, 90600, 99240, 95688, 92022, 102804, 94542, 96624, 93042, 96180, 95976, 94020, 96858, 94836]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run2.log,6,Memory,89694,39193,31,"[0, 94914, 95904, 98676, 98364, 91932, 90456, 89100, 90810, 94950, 86358, 90798, 89148, 94764, 86310, 91290, 84828, 96480, 93318, 88956, 93078, 87324, 89454, 90840, 94458, 87354, 86028, 90096, 92166, 92526, 86148]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run3.log,6,Memory,86831,37853,31,"[0, 86706, 86298, 92508, 83664, 78756, 89904, 91284, 90078, 83628, 89268, 84522, 93522, 94500, 88206, 89412, 87234, 71856, 92166, 95064, 87258, 86070, 85932, 88440, 90918, 78378, 98988, 84372, 85446, 90174, 78864]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run4.log,6,Memory,81896,35922,31,"[0, 82776, 88752, 79494, 82980, 94068, 87630, 87672, 77430, 92850, 83706, 94290, 86916, 78204, 80670, 88206, 92760, 80514, 88434, 78828, 82398, 90918, 85446, 77118, 88716, 88992, 86004, 75756, 67278, 90756, 55332]"
tpcc_vu10_wh10_mc200_bp2G_lb64_run5.log,6,Memory,81056,35439,31,"[0, 79596, 76938, 86058, 93276, 68226, 88818, 86184, 77922, 87894, 81138, 80094, 69414, 73914, 93336, 82062, 95658, 82038, 79860, 58458, 83472, 95448, 86430, 83598, 84708, 75336, 68520, 80784, 88914, 76134, 73908]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run1.log,2,Medium,84487,36454,31,"[0, 70404, 131496, 86082, 99780, 83868, 76302, 88746, 88998, 81510, 79086, 91272, 90600, 77112, 82386, 100050, 83862, 77274, 92064, 98664, 78498, 79056, 89094, 96744, 81492, 76470, 77028, 80526, 96978, 83868, 73578]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run2.log,2,Medium,82902,36158,31,"[0, 77616, 88200, 95310, 83718, 78498, 77298, 76530, 81654, 97092, 90912, 91278, 82602, 82470, 78018, 82740, 81546, 86496, 96864, 85680, 78168, 75894, 77142, 92982, 94302, 82284, 79710, 81852, 79686, 78570, 87912]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run3.log,2,Medium,78429,34222,31,"[0, 78264, 85848, 80460, 80346, 73572, 77634, 84792, 97500, 76026, 94236, 75270, 81198, 80376, 79134, 75540, 76350, 81210, 74388, 78402, 80490, 78954, 107010, 82038, 77490, 76524, 67848, 78294, 77202, 71208, 79578]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run4.log,2,Medium,75564,32867,31,"[0, 45816, 82158, 82272, 87516, 90636, 85890, 69468, 74136, 76344, 66306, 81840, 78228, 74976, 77514, 79002, 73860, 77346, 79008, 74778, 73002, 75420, 93054, 89472, 79650, 72666, 69858, 73362, 65436, 75606, 67296]"
tpcc_vu10_wh10_mc200_bp512M_lb16_run5.log,2,Medium,74761,32522,31,"[0, 67968, 83646, 76308, 71358, 90828, 65214, 85284, 84594, 80454, 77484, 74334, 36996, 102510, 76026, 73626, 72402, 78354, 73266, 76446, 67770, 66714, 71712, 66894, 67002, 76104, 78066, 78870, 71472, 70554, 71874]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run1.log,3,Large,93228,41057,31,"[0, 85974, 113916, 99228, 97206, 94524, 87132, 89718, 93168, 97782, 94446, 92262, 93390, 96732, 95208, 92916, 96888, 93558, 91236, 95670, 96396, 97488, 94866, 91650, 94482, 97194, 91362, 90714, 87900, 89376, 95172]"
tpcc_vu20_wh20_mc500_bp1G_lb32_run2.log,3,Large,85907,37675,31,"[0, 85812, 92202, 87450, 91098, 90066, 92688, 94986, 85740, 90408, 87174, 92748, 90306, 89202, 87462, 88092, 87210, 87300, 78546, 89490, 88830, 92190, 85344, 85944, 92874, 81018, 79254, 90408, 76770, 99426, 77790]"
