timestep,tpm,final_tpm,final_nopm
1,0,87704,38677
2,95016,87704,38677
3,151458,87704,38677
4,104916,87704,38677
5,101268,87704,38677
6,81270,87704,38677
7,90150,87704,38677
8,89718,87704,38677
9,78144,87704,38677
10,85326,87704,38677
11,91974,87704,38677
12,85752,87704,38677
13,82224,87704,38677
14,82212,87704,38677
15,85044,87704,38677
16,93468,87704,38677
17,81612,87704,38677
18,95064,87704,38677
19,87510,87704,38677
20,92052,87704,38677
21,88722,87704,38677
22,89202,87704,38677
23,87960,87704,38677
24,80052,87704,38677
25,86148,87704,38677
26,89604,87704,38677
27,89340,87704,38677
28,89268,87704,38677
29,88644,87704,38677
30,82038,87704,38677
31,77724,87704,38677
32,90600,87704,38677
33,36294,87704,38677
34,0,87704,38677
