timestep,tpm,final_tpm,final_nopm
1,0,54606,23526
2,50958,54606,23526
3,63138,54606,23526
4,60192,54606,23526
5,53814,54606,23526
6,62334,54606,23526
7,60222,54606,23526
8,59220,54606,23526
9,46428,54606,23526
10,58938,54606,23526
11,64776,54606,23526
12,56688,54606,23526
13,58710,54606,23526
14,42954,54606,23526
15,58428,54606,23526
16,58128,54606,23526
17,65202,54606,23526
18,55572,54606,23526
19,51750,54606,23526
20,53076,54606,23526
21,53382,54606,23526
22,62226,54606,23526
23,58314,54606,23526
24,42612,54606,23526
25,39234,54606,23526
26,61254,54606,23526
27,65688,54606,23526
28,52752,54606,23526
29,61908,54606,23526
30,58356,54606,23526
31,47040,54606,23526
