timestep,tpm,final_tpm,final_nopm
1,0,140077,60557
2,234846,140077,60557
3,265254,140077,60557
4,154830,140077,60557
5,113244,140077,60557
6,211050,140077,60557
7,213912,140077,60557
8,194238,140077,60557
9,198126,140077,60557
10,151242,140077,60557
11,123018,140077,60557
12,125814,140077,60557
13,74370,140077,60557
14,156654,140077,60557
15,164130,140077,60557
16,199362,140077,60557
17,182268,140077,60557
18,198042,140077,60557
19,169134,140077,60557
20,68892,140077,60557
21,224274,140077,60557
22,199434,140077,60557
23,185916,140077,60557
24,128754,140077,60557
25,85398,140077,60557
26,79134,140077,60557
27,100938,140077,60557
28,33708,140077,60557
29,83208,140077,60557
30,150792,140077,60557
31,115992,140077,60557
