timestep,tpm,final_tpm,final_nopm
1,0,153770,67017
2,185442,153770,67017
3,182796,153770,67017
4,198450,153770,67017
5,184746,153770,67017
6,209286,153770,67017
7,201336,153770,67017
8,219288,153770,67017
9,182100,153770,67017
10,162300,153770,67017
11,176790,153770,67017
12,119856,153770,67017
13,135924,153770,67017
14,132660,153770,67017
15,139656,153770,67017
16,160914,153770,67017
17,170856,153770,67017
18,219336,153770,67017
19,172668,153770,67017
20,104490,153770,67017
21,152352,153770,67017
22,208128,153770,67017
23,164046,153770,67017
24,167334,153770,67017
25,193068,153770,67017
26,213120,153770,67017
27,83490,153770,67017
28,111774,153770,67017
29,111954,153770,67017
30,149730,153770,67017
31,166242,153770,67017
