timestep,tpm,final_tpm,final_nopm
1,0,67488,29326
2,148230,67488,29326
3,127536,67488,29326
4,53988,67488,29326
5,60426,67488,29326
6,93360,67488,29326
7,49836,67488,29326
8,70788,67488,29326
9,39192,67488,29326
10,83892,67488,29326
11,43092,67488,29326
12,57642,67488,29326
13,54258,67488,29326
14,80808,67488,29326
15,71688,67488,29326
16,117984,67488,29326
17,63582,67488,29326
18,108096,67488,29326
19,58518,67488,29326
20,72438,67488,29326
21,61788,67488,29326
22,20448,67488,29326
23,75336,67488,29326
24,32316,67488,29326
25,85086,67488,29326
26,21558,67488,29326
27,73890,67488,29326
28,71826,67488,29326
29,67656,67488,29326
30,77238,67488,29326
31,57816,67488,29326
