timestep,tpm,final_tpm,final_nopm
1,0,41530,17947
2,30678,41530,17947
3,37392,41530,17947
4,33714,41530,17947
5,49182,41530,17947
6,20208,41530,17947
7,61242,41530,17947
8,34620,41530,17947
9,73104,41530,17947
10,40296,41530,17947
11,49614,41530,17947
12,71058,41530,17947
13,41064,41530,17947
14,60120,41530,17947
15,40020,41530,17947
16,63138,41530,17947
17,67698,41530,17947
18,45480,41530,17947
19,46476,41530,17947
20,25164,41530,17947
21,30282,41530,17947
22,23556,41530,17947
23,62124,41530,17947
24,38094,41530,17947
25,44100,41530,17947
26,41868,41530,17947
27,32982,41530,17947
28,29010,41530,17947
29,36816,41530,17947
30,32922,41530,17947
