filename,test_id,test_name,final_tpm,final_nopm,num_timesteps,tpm_values
pg_vu20_wh5_mc200_sb256MB_wb8_run1.log,5,I/O Test,168033,73101,31,"[0, 219198, 225060, 187314, 193776, 187422, 181890, 166848, 108702, 142692, 147480, 96774, 136788, 98730, 86826, 192750, 155424, 211986, 216618, 200160, 205704, 159252, 133416, 166284, 159900, 191724, 212382, 207192, 210564, 100686, 163770]"
pg_vu100_wh50_mc1000_sb4GB_wb128_run1.log,8,Stress,55408,24051,167,"[0, 1374, 2424, 1674, 1134, 1512, 2370, 2148, 1974, 2100, 2034, 1350, 972, 954, 918, 1908, 1776, 900, 1716, 738, 426, 1350, 1902, 1920, 2028, 2418, 2052, 1308, 2886, 2694, 2928, 3036, 3522, 3948, 5034, 5604, 5160, 4776, 4422, 4218, 4794, 5556, 4812, 1590, 5604, 6228, 7026, 10374, 9858, 7542, 8328, 9114, 8382, 7062, 12066, 9288, 11808, 8682, 6930, 5760, 5490, 6144, 5856, 4638, 9084, 10764, 12348, 10992, 11646, 11226, 8094, 8712, 10794, 10836, 5268, 8976, 13836, 14070, 10440, 17196, 32508, 23328, 28578, 31236, 34518, 48144, 42120, 43230, 47538, 32622, 36810, 52692, 50628, 17160, 19416, 34308, 23790, 34182, 40506, 37632, 40344, 38814, 31296, 53124, 43686, 51834, 49140, 54060, 35190, 15168, 21396, 18384, 19356, 38610, 7410, 2280, 1008, 50220, 47436, 33048, 47736, 43752, 42516, 33006, 35670, 21900, 20826, 17430, 21534, 20484, 15084, 6, 42, 60, 9876, 3324, 6030, 8850, 9252, 14766, 14376, 14508, 19908, 14856, 10500, 8718, 1782, 5766, 8694, 3894, 3312, 13740, 8052, 5682, 7614, 9522, 7464, 7746, 11304, 10092, 11616, 7014, 8142, 1776, 1650, 2772, 1056]"
pg_vu20_wh5_mc200_sb256MB_wb8_run2.log,5,I/O Test,131387,57235,31,"[0, 84450, 90546, 146250, 121062, 117810, 98934, 101256, 55200, 48360, 49212, 57606, 105702, 112086, 146448, 152988, 163374, 165216, 122850, 138624, 167460, 76458, 56820, 88428, 121026, 145650, 158946, 125904, 153780, 160152, 97974]"
pg_vu100_wh50_mc1000_sb4GB_wb128_run2.log,8,Stress,5032,2222,120,"[0, 2706, 5322, 5520, 5424, 4626, 4746, 4416, 1896, 3216, 3756, 3396, 4074, 4074, 2856, 576, 3048, 3444, 3276, 4560, 4272, 4512, 4830, 3276, 3828, 4812, 4020, 1002, 2784, 1566, 5388, 1890, 2028, 1506, 1014, 618, 1404, 3576, 3984, 3714, 3162, 3690, 3924, 4230, 2586, 2640, 1992, 2352, 1974, 2424, 2562, 3426, 3348, 2568, 2358, 780, 618, 1878, 300, 2490, 1506, 1392, 444, 492, 786, 1848, 1908, 2208, 1452, 6, 990, 1326, 1074, 306, 1992, 1548, 972, 1188, 1896, 762, 1866, 1272, 2010, 1662, 1146, 2922, 1272, 2358, 1680, 1908, 1434, 2256, 624, 1932, 774, 540, 984, 2070, 1620, 2244, 1494, 1692, 2484, 1116, 1884, 1464, 6, 2370, 2058, 630, 1830, 2400, 888, 1662, 2088, 1866, 2058, 660, 894, 696]"
pg_vu100_wh50_mc1000_sb4GB_wb128_run3.log,8,Stress,,,27,"[0, 1068, 3402, 2514, 2964, 2478, 2010, 1602, 1866, 1734, 1374, 1170, 2016, 2190, 2400, 1458, 1830, 816, 1428, 906, 1056, 1212, 1050, 1302, 834, 36, 726]"
pg_vu20_wh5_mc200_sb256MB_wb8_run3.log,5,I/O Test,92630,40417,31,"[0, 61674, 103236, 116586, 172236, 163338, 141720, 164760, 171102, 130290, 144246, 156444, 153702, 90900, 112782, 108054, 124902, 126072, 118482, 86898, 44262, 37404, 70116, 59544, 65664, 58122, 79914, 169644, 187122, 72384, 100770]"
pg_vu20_wh5_mc200_sb256MB_wb8_run4.log,5,I/O Test,64468,27930,32,"[0, 83868, 87420, 87438, 86034, 67050, 97110, 106248, 80448, 63900, 58272, 79470, 83550, 74112, 44706, 62196, 59124, 61902, 51786, 65136, 71718, 63288, 72402, 58674, 72612, 94548, 84972, 81846, 50352, 41382, 53292, 56028]"
pg_vu20_wh5_mc200_sb256MB_wb8_run5.log,5,I/O Test,88221,38077,31,"[0, 63066, 124002, 119166, 105108, 118380, 88896, 66108, 69048, 92928, 83148, 83514, 66714, 52302, 46908, 58188, 72666, 74052, 77346, 82962, 100578, 123234, 85734, 81216, 97578, 127512, 133254, 129084, 124338, 79068, 58860]"
pg_vu50_wh20_mc500_sb2GB_wb64_run1.log,4,Max CPU,57064,24818,33,"[0, 125790, 117366, 98400, 7266, 15888, 49974, 75978, 57174, 60984, 66780, 83472, 63342, 86790, 45216, 69282, 42954, 70686, 85194, 43752, 84798, 74634, 41904, 18330, 24438, 68544, 31224, 64848, 37512, 75246, 99756, 33684, 81600]"
pg_vu50_wh20_mc500_sb2GB_wb64_run3.log,4,Max CPU,54008,23483,33,"[0, 138816, 80604, 35442, 82068, 81768, 53814, 33162, 82548, 31044, 84870, 28896, 73188, 33006, 48036, 40716, 38424, 102564, 38316, 89004, 43884, 51474, 67644, 33696, 58116, 39402, 73698, 44628, 67944, 35298, 64884, 35352, 19494]"
pg_vu50_wh20_mc500_sb2GB_wb64_run2.log,4,Max CPU,56975,24752,33,"[0, 128916, 155610, 56166, 39462, 58902, 48780, 46332, 64038, 64404, 66264, 46110, 84114, 68484, 51354, 71118, 45990, 55758, 49350, 58284, 43608, 70302, 46230, 71346, 85056, 49020, 50238, 72438, 45768, 55128, 39636, 70890, 21732]"
pg_vu50_wh20_mc500_sb2GB_wb64_run5.log,4,Max CPU,58198,25718,33,"[0, 23802, 82512, 36654, 28452, 72456, 46428, 111084, 32778, 44298, 77010, 46188, 74274, 34452, 49968, 57498, 39342, 69984, 34596, 50730, 30132, 83394, 46566, 103278, 39006, 32868, 79026, 54126, 116964, 43272, 86472, 49116, 24882]"
pg_vu50_wh20_mc500_sb2GB_wb64_run4.log,4,Max CPU,58784,25582,33,"[0, 118812, 100770, 35478, 73128, 31776, 92838, 37560, 34968, 83430, 59814, 104802, 35832, 43716, 74508, 55596, 88782, 31380, 82362, 48816, 74160, 37626, 57432, 52230, 84078, 40860, 34446, 83136, 45546, 94488, 28446, 25494, 46332]"
pg_vu5_wh5_mc100_sb256MB_wb8_run1.log,1,Small,107144,46458,31,"[0, 232260, 276852, 249906, 134040, 255786, 208290, 151896, 147462, 83316, 105000, 93870, 98064, 133812, 125880, 134748, 171390, 80616, 92874, 58470, 113904, 119520, 110280, 86472, 93084, 59664, 99528, 142062, 100398, 92412, 121038]"
pg_vu5_wh5_mc100_sb256MB_wb8_run2.log,1,Small,93377,40476,31,"[0, 107784, 101988, 70608, 68436, 111258, 101472, 54348, 78366, 100026, 144966, 106398, 123798, 124554, 125184, 113064, 100038, 93750, 45066, 15906, 47694, 73176, 60534, 33678, 100008, 131346, 109242, 149496, 167082, 106140, 97356]"
pg_vu5_wh5_mc100_sb256MB_wb8_run3.log,1,Small,114949,49805,31,"[0, 83406, 52296, 58254, 124590, 103566, 61590, 72420, 75378, 95784, 95550, 66684, 83574, 140160, 130908, 74826, 70974, 114552, 151092, 74784, 74046, 103284, 144918, 132738, 112824, 141210, 121050, 147654, 123972, 144102, 76506]"
pg_vu5_wh5_mc100_sb256MB_wb8_run4.log,1,Small,76820,33422,31,"[0, 63864, 100614, 90564, 62280, 58638, 32838, 35580, 41244, 36984, 55272, 42786, 46422, 34884, 64548, 71226, 57480, 71514, 93468, 77376, 87798, 71394, 112380, 82740, 113658, 87522, 65586, 85398, 103272, 48498, 66168]"
pg_vu5_wh5_mc100_sb256MB_wb8_run5.log,1,Small,79252,34408,30,"[0, 71820, 79056, 72600, 50010, 49308, 83826, 88764, 63138, 81540, 98610, 87396, 77010, 75372, 70452, 73512, 61074, 60858, 67506, 72102, 77916, 108558, 71262, 84756, 106398, 57792, 102864, 76506, 85848, 89922]"
pg_vu10_wh10_mc200_sb512MB_wb16_run4.log,2,Medium,70374,30829,30,"[0, 52722, 47364, 84912, 24660, 68490, 115686, 49404, 65796, 71976, 147570, 60528, 49740, 99354, 90660, 80604, 107862, 64080, 74352, 98436, 111570, 46152, 33492, 45756, 44376, 64806, 53790, 60912, 50598, 105666]"
pg_vu10_wh10_mc200_sb2GB_wb64_run1.log,6,Memory,100083,43685,32,"[0, 234612, 226068, 152454, 211650, 143856, 183192, 106434, 121746, 107490, 123570, 100650, 202866, 128292, 191622, 125754, 127152, 96354, 68898, 104622, 55200, 89040, 36678, 98292, 71796, 87672, 91884, 90714, 133128, 70560, 160902, 83946]"
pg_vu10_wh10_mc200_sb512MB_wb16_run5.log,2,Medium,70858,30820,30,"[0, 81858, 100926, 95886, 84792, 46746, 30072, 45462, 60504, 56634, 60918, 94362, 62778, 69378, 112308, 68568, 69756, 95946, 56562, 70614, 75120, 92160, 110520, 34992, 59724, 71100, 85674, 86694, 46806, 40872]"
pg_vu20_wh20_mc500_sb1GB_wb32_run1.log,3,Large,42606,18552,31,"[0, 75168, 86244, 101574, 94530, 88452, 28638, 54942, 54954, 20514, 33456, 27180, 34008, 68118, 18762, 20172, 69444, 22794, 38610, 27594, 51708, 41118, 36618, 79296, 19242, 32538, 71880, 28710, 63522, 36426, 42774]"
pg_vu20_wh20_mc500_sb1GB_wb32_run3.log,3,Large,40172,17517,33,"[0, 58386, 26076, 59382, 17910, 15792, 42396, 36282, 27060, 50742, 16044, 19164, 76842, 22722, 31080, 67194, 16272, 36636, 66528, 32082, 32712, 62688, 26802, 26904, 67506, 22284, 27366, 65208, 24870, 35934, 60426, 20592, 36222]"
pg_vu5_wh20_mc100_sb128MB_wb8_run5.log,7,Latency,43776,19049,31,"[0, 42468, 29262, 20304, 39414, 30018, 23220, 33618, 34278, 29082, 24276, 20022, 47400, 47376, 34932, 56154, 43224, 50394, 53874, 36000, 40428, 67206, 38748, 57456, 53478, 40614, 20532, 52026, 41142, 25506, 29670]"
pg_vu10_wh10_mc200_sb2GB_wb64_run2.log,6,Memory,65572,28499,31,"[0, 71424, 171870, 40122, 146490, 49854, 171216, 42354, 165300, 48174, 115374, 75606, 96366, 86760, 62850, 116946, 58506, 66438, 41328, 58980, 58242, 55392, 34782, 57588, 95946, 44070, 58140, 62892, 65430, 88314, 73722]"
pg_vu10_wh10_mc200_sb2GB_wb64_run3.log,6,Memory,62683,27329,31,"[0, 188514, 69648, 72840, 24774, 90288, 38664, 99222, 32592, 93054, 42960, 119526, 43200, 90294, 60384, 92292, 47598, 101988, 33084, 64962, 50688, 29778, 68616, 16434, 47430, 59106, 100200, 42378, 57180, 85914, 109380]"
pg_vu5_wh20_mc100_sb128MB_wb8_run4.log,7,Latency,45833,19873,31,"[0, 45720, 32982, 63114, 40830, 49950, 48540, 31230, 35328, 39888, 30504, 19806, 23766, 39702, 36204, 41322, 26454, 68718, 43212, 61584, 49458, 65304, 61494, 39990, 29220, 44976, 48912, 35574, 48096, 48492, 44610]"
pg_vu20_wh20_mc500_sb1GB_wb32_run2.log,3,Large,45318,19731,32,"[0, 69858, 65232, 28314, 29874, 63072, 28278, 18390, 64260, 33174, 22134, 50598, 16806, 17706, 58914, 26640, 50382, 18534, 37146, 62760, 46560, 80922, 25536, 27042, 72294, 40392, 93894, 23850, 26460, 78222, 25926, 32466]"
pg_vu10_wh10_mc200_sb512MB_wb16_run2.log,2,Medium,77013,33653,30,"[0, 91176, 134196, 168552, 118452, 141558, 16434, 41058, 58716, 52026, 45432, 93732, 94086, 47292, 77046, 93504, 109290, 30402, 28866, 55902, 65904, 73128, 111522, 125400, 182670, 142230, 49002, 47820, 43758, 69930]"
pg_vu5_wh20_mc100_sb128MB_wb8_run1.log,7,Latency,42972,18803,31,"[0, 101742, 53826, 55872, 44184, 41934, 40386, 46518, 35142, 74202, 36942, 70272, 41682, 38496, 31674, 44688, 41550, 38016, 50574, 28428, 36642, 30768, 26346, 28752, 39942, 69486, 56736, 62382, 44550, 63786, 42876]"
pg_vu10_wh10_mc200_sb512MB_wb16_run3.log,2,Medium,67988,29650,31,"[0, 40620, 75426, 95328, 62364, 66348, 54900, 70428, 64236, 24378, 56904, 62208, 51060, 43896, 54324, 75012, 69018, 51420, 81972, 51444, 56148, 74094, 67938, 28866, 55986, 71646, 79824, 58764, 68544, 119652, 133482]"
pg_vu20_wh20_mc500_sb1GB_wb32_run5.log,3,Large,38368,16695,33,"[0, 51702, 86844, 24252, 26628, 71808, 18822, 31140, 54180, 21522, 41496, 47064, 24852, 63366, 25542, 20010, 54672, 23148, 39930, 42150, 15912, 32412, 22038, 23466, 81930, 17862, 18312, 32040, 63396, 37572, 74088, 20022, 38562]"
pg_vu10_wh10_mc200_sb512MB_wb16_run1.log,2,Medium,77724,33725,31,"[0, 222126, 235284, 206010, 59628, 108450, 100608, 147120, 174840, 76068, 134784, 137754, 105444, 27876, 91752, 47262, 109602, 97830, 90690, 115614, 134406, 41982, 39252, 83724, 75864, 73884, 22776, 77994, 69408, 89430, 130860]"
pg_vu10_wh10_mc200_sb2GB_wb64_run4.log,6,Memory,67488,29326,31,"[0, 148230, 127536, 53988, 60426, 93360, 49836, 70788, 39192, 83892, 43092, 57642, 54258, 80808, 71688, 117984, 63582, 108096, 58518, 72438, 61788, 20448, 75336, 32316, 85086, 21558, 73890, 71826, 67656, 77238, 57816]"
pg_vu5_wh20_mc100_sb128MB_wb8_run3.log,7,Latency,41530,17947,30,"[0, 30678, 37392, 33714, 49182, 20208, 61242, 34620, 73104, 40296, 49614, 71058, 41064, 60120, 40020, 63138, 67698, 45480, 46476, 25164, 30282, 23556, 62124, 38094, 44100, 41868, 32982, 29010, 36816, 32922]"
